"Rank","Mountain","Elevation","Prominence","Coordinates","Range [Note 4]","Range[Note 5]","Region [Note 6]","Country","First[5] ascent"
"515","Sas Rigais[Note 15]","3025","904","46°36′33″N 11°46′00″E﻿ / ﻿46.60917°N 11.76667°E﻿ / 46.60917; 11.76667﻿ (515. Sas Rigais (3025 m))","Dolomites - NW","II/C-31.III-A","South Tyrol","IT","1878"
"517","Piz Corbet","3025","672","46°22′47″N 09°16′49″E﻿ / ﻿46.37972°N 9.28028°E﻿ / 46.37972; 9.28028﻿ (517. Piz Corbet (3025 m))","Adula Alps","I/B-10.III-D","Graub./Sondrio","CH/IT","1892"
"518","Corno Bussola / M de Boussolaz (it)","3024","356","45°47′44″N 07°44′10″E﻿ / ﻿45.79556°N 7.73611°E﻿ / 45.79556; 7.73611﻿ (518. Corno Bussola / M de Boussolaz (3024 m))","Monte Rosa Alps","I/B-09.III-B","Aosta Valley","IT",""
"519","Wendenhorn","3023","311","46°45′14″N 08°26′37″E﻿ / ﻿46.75389°N 8.44361°E﻿ / 46.75389; 8.44361﻿ (519. Wendenhorn (3023 m))","Urner Alps","I/B-12.I-B","Bern/Uri","CH","1884"
"520","Wurmaulspitze","3022","414","46°54′50″N 11°38′16″E﻿ / ﻿46.91389°N 11.63778°E﻿ / 46.91389; 11.63778﻿ (520. Wurmaulspitze (3022 m))","Zillertal Alps","II/A-17.I-C","South Tyrol","IT",""
"521","Pointe de la Vallaisonnay","3020","400","45°27′29″N 06°49′04″E﻿ / ﻿45.45806°N 6.81778°E﻿ / 45.45806; 6.81778﻿ (521. Pte de la Vallaisonnay (3020 m))","Vanoise massif","I/B-07.II-B","Savoy","FR",""
"522","Pic du Mas de la Grave (it)","3020","364","45°07′15″N 06°14′46″E﻿ / ﻿45.12083°N 6.24611°E﻿ / 45.12083; 6.24611﻿ (522. Pic du Mas de la Grave (3020 m))","Dauphiné Alps","I/A-05.I-A","H-Alpes/Savoy","FR",""
"523","Le Cimet (fr)","3020","342","44°17′24″N 06°42′18″E﻿ / ﻿44.29000°N 6.70500°E﻿ / 44.29000; 6.70500﻿ (523. Cimet (3020 m))","Maritime Alps","I/A-02.I-E","A-d-H-Provence","FR",""
"524","Viso Mozzo (it)","3019","361","44°40′29″N 07°06′36″E﻿ / ﻿44.67472°N 7.11000°E﻿ / 44.67472; 7.11000﻿ (524. Viso Mozzo (3019 m))","Southern Cottian Alps","I/A-04.I-C","Cuneo","IT",""
"525","Piz Blas","3019","312","46°34′38″N 08°43′41″E﻿ / ﻿46.57722°N 8.72806°E﻿ / 46.57722; 8.72806﻿ (525. Piz Blas (3019 m))","Leone-Gotthard Alps","I/B-10.I-B","Graub./Ticino","CH","1871"
"526","Gamspleisspitze","3015","328","46°55′54″N 10°14′31″E﻿ / ﻿46.93167°N 10.24194°E﻿ / 46.93167; 10.24194﻿ (526. Gamspleisspitze (3015 m))","Silvretta","II/A-15.VI-A","N-Tyrol/Graub.","AT/CH","1853"
"527","Hochreichkopf","3010","367","47°10′13″N 10°58′11″E﻿ / ﻿47.17028°N 10.96972°E﻿ / 47.17028; 10.96972﻿ (527. Hochreichkopf (3010 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1890"
"528","Cima dell'Uomo","3010","327","46°24′22″N 11°48′30″E﻿ / ﻿46.40611°N 11.80833°E﻿ / 46.40611; 11.80833﻿ (528. Cima dell'Uomo (3010 m))","Dolomites - NW","II/C-31.III-B","Trentino","IT",""
"529","Monte Giove (it)","3009","516","46°21′41″N 08°23′17″E﻿ / ﻿46.36139°N 8.38806°E﻿ / 46.36139; 8.38806﻿ (529. Monte Giove (3009 m))","Leone-Gotthard Alps","I/B-10.I-A","V-C-O","IT",""
"530","Acherkogel[Note 16]","3008","365","47°11′21″N 10°57′24″E﻿ / ﻿47.18917°N 10.95667°E﻿ / 47.18917; 10.95667﻿ (530. Acherkogel (3008 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1881"
"531","Älplihorn","3006","426","46°42′39″N 09°49′33″E﻿ / ﻿46.71083°N 9.82583°E﻿ / 46.71083; 9.82583﻿ (531. Älplihorn (3006 m))","Albula Alps","II/A-15.II-B","Graubünden","CH",""
"532","Monte Avic","3006","392","45°40′37″N 07°33′17″E﻿ / ﻿45.67694°N 7.55472°E﻿ / 45.67694; 7.55472﻿ (532. Monte Avic (3006 m))","Gran Paradiso Alps","I/B-07.IV-C","Aosta Valley","IT",""
"533","Ritterkopf","3006","349","47°06′09″N 12°56′58″E﻿ / ﻿47.10250°N 12.94944°E﻿ / 47.10250; 12.94944﻿ (533. Ritterkopf (3006 m))","Goldberg Group","II/A-17.II-E","Salzburg","AT","1885"
"534","Furgler","3004","319","47°02′25″N 10°30′44″E﻿ / ﻿47.04028°N 10.51222°E﻿ / 47.04028; 10.51222﻿ (534. Furgler (3004 m))","Samnaun Alps","II/A-15.VI-B","North Tyrol","AT",""
"535","Kesselkogel / Catinaccio d'Antermoia","3002","814","46°28′28″N 11°38′37″E﻿ / ﻿46.47444°N 11.64361°E﻿ / 46.47444; 11.64361﻿ (535. Kesselkogel / Catinaccio d'Antermoia (3002 m))","Dolomites - NW","II/C-31.III-B","S-Tyrol/Trentino","IT","1872"
"536","Pizzas d'Anarosa / Grauhörner","3002","366","46°35′56″N 09°18′57″E﻿ / ﻿46.59889°N 9.31583°E﻿ / 46.59889; 9.31583﻿ (536. Pizzas d'Anarosa / Grauhörner (3002 m))","Adula Alps","I/B-10.III-C","Graub./Ticino","CH","1894"
"537","Gigalitz","3001","300","47°03′28″N 11°53′28″E﻿ / ﻿47.05778°N 11.89111°E﻿ / 47.05778; 11.89111﻿ (537. Gigalitz (3001 m))","Zillertal Alps","II/A-17.I-B","North Tyrol","AT","1884"
